OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender,Population
1,Clark,CLARK,6842,1325886666.59497,164046.409274647,1,,1,,,,,,,,,,,,7,33acd1fd-db21-43ba-9e95-901c7ae83196,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:23:33.014Z,mophep,,,,,,,,,,,
2,Atchison,ATCHISON,5171,1424460766.0011,183521.887293614,2,,1,,,,,,,,,,,,,6940e654-2fb7-413f-aa40-8d283707089b,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:33:30.780Z,mophep,,,,,,,,,,,
3,Scotland,SCOTLAND,4966,1136964678.12842,135147.428812104,4,,,1,,,,,,,,,,,,ff9e0df4-9d6b-43dc-a87e-33865207394b,2020-03-24T20:48:38.049Z,mophep,2020-04-16T18:59:31.775Z,mophep,,,,,,,,,,,
4,Schuyler,SCHUYLER,4599,797576866.270752,156174.527160598,0,,,,,,,,,,,,,,,279dc07d-0f44-4d84-ba29-82cfa9f8149f,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:26:18.949Z,mophep,,,,,,,,,,,
5,Nodaway,NODAWAY,22304,2273266151.45618,212569.206932711,3,,,2,,,,,,,,,,,,1b94b585-494c-4d0d-b9bb-492027aa0447,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:38:30.802Z,mophep,,,,,,,,,,,
6,Putnam,PUTNAM,4757,1343979805.81177,210409.59773988,0,,,,,,,,,,,,,,,cebe7236-734a-46c0-919d-ac094f765256,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:25:34.056Z,mophep,,,,,,,,,,,
7,Worth,WORTH,2040,690902545.26123,112108.539763473,1,,,1,,,,,,,,,,,,22e6e602-d30a-4661-a49d-f9a4ab2d1257,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:28:22.545Z,mophep,,,,,,,,,,,
8,Mercer,MERCER,3641,1177231359.42249,138797.634937689,0,,,,,,,,,,,,,,,e768a8a3-81a5-46cd-8d08-b2a4db46510b,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:23:53.334Z,mophep,,,,,,,,,,,
9,Harrison,HARRISON,8414,1880143699.50903,177341.492801893,6,,,4,,,,,,,,,,,,e33d5cd8-0770-4a51-b8a5-4488da6d8626,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:49:55.483Z,mophep,,,,,,,,,,,
10,Gentry,GENTRY,6628,1273646566.26721,143259.35541506,1,,,1,,,,,,,,,,,,5e56cd56-eff2-4a7f-aec6-eaf1da597692,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:49:33.029Z,mophep,,,,,,,,,,,
11,Sullivan,SULLIVAN,6221,1686257031.65051,164531.067550778,0,,,,,,,,,,,,,,,d162e0d9-83c3-4f98-9206-258085980877,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:27:43.576Z,mophep,,,,,,,,,,,
12,Adair,ADAIR,25339,1473830723.49438,155201.837083418,12,,,11,391,367,484,577,427,200,215,3745,241,135,55,952ffff8-7077-40a5-be5c-7173cdd1dca1,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:21:09.975Z,mophep,348,363,405,528,553,327,496,2547,3050,70,
13,Knox,KNOX,3947,1311676584.00513,145916.428736743,0,,,,,,,,,,,,,,,cbe8788e-7cf6-4350-8c8b-00c87404924b,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:00:33.559Z,mophep,,,,,,,,,,,
14,Holt,HOLT,4404,1218820695.45142,206740.910086255,1,,,,,,,,,,,,,,,e0aac74d-1511-41ff-bde5-3f920bc49101,2020-03-24T20:48:38.049Z,mophep,2020-04-15T18:37:55.520Z,mophep,,,,,,,,,,,
15,Grundy,GRUNDY,9914,1133628347.99951,135425.293892533,0,,,,,,,,,,,,,,,812518d0-97ab-4c2b-81aa-8a90e2c125fe,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:49:49.252Z,mophep,,,,,,,,,,,
16,Lewis,LEWIS,9855,1322348462.99756,153405.951959391,1,,,,,,,,,,,,,,,925342b7-bc64-4855-b740-6bd677dd54af,2020-03-24T20:48:38.049Z,mophep,2020-04-18T18:35:26.959Z,mophep,,,,,,,,,,,
17,Andrew,ANDREW,17607,1130411881.98389,163184.581049783,1,,,,,,,,,,,,,,,57d765c4-8729-4c99-bbb5-61fc33052260,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:21:02.363Z,mophep,,,,,,,,,,,
18,Daviess,DAVIESS,8313,1473431309.66724,155428.740143233,2,,,,,,,,,,,,,,,76bfce3d-3d4f-418d-8f96-49e82a0fd9b8,2020-03-24T20:48:38.049Z,mophep,2020-04-16T18:40:35.305Z,mophep,,,,,,,,,,,
19,DeKalb,DEKALB,12630,1102087097.67676,132781.321428924,3,,,1,,,,,,,,,,,,bdbae6bb-5536-47dc-8339-a0eee6786f0b,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:48:53.068Z,mophep,,,,,,,,,,,
20,Macon,MACON,15153,2102739104.73291,191080.826408323,2,,,2,,,,,,,,,,,,f49a49af-30a4-4af9-a19f-2fb5ea268ec2,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:23:32.056Z,mophep,,,,,,,,,,,
21,Linn,LINN,12037,1607912596.83167,161628.711215893,5,1,,3,,,,,,,,,,,,5038654e-3f5a-4592-92fc-03034ec60ed3,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:38:00.788Z,mophep,,,,,,,,,,,
22,Livingston,LIVINGSTON,15146,1394059538.82983,171008.576484592,2,,,1,,,,,,,,,,,,5225c9cb-ce1b-4ecb-947d-c86e848b1dd4,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:38:03.536Z,mophep,,,,,,,,,,,
23,Shelby,SHELBY,6050,1299836305.30664,154159.83478707,1,,1,,,,,,,,,,,,,2d51e035-efb7-495b-a520-66c7a6088e16,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:26:38.418Z,mophep,,,,,,,,,,,
24,Marion,MARION,28592,1150654248.19434,152128.290799651,1,,,,,,,,,,,,,,,f1c92389-2adb-4ffb-886e-4d52c4991c45,2020-03-24T20:48:38.049Z,mophep,2020-04-18T18:35:39.386Z,mophep,,,,,,,,,,,
25,Buchanan,BUCHANAN,88571,1074851030.37805,161287.603152585,31,1,6,8,,,,,,,,,,,,46d1c9ca-3c74-4e31-86c1-268ab824ff62,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:13:41.362Z,mophep,,,,,,,,,,,
26,Caldwell,CALDWELL,9108,1111991209.84412,134846.587083014,2,,,1,,,,,,,,,,,,02ea3e56-d6b0-4b44-8462-acf850ec519c,2020-03-24T20:48:38.049Z,mophep,2020-04-15T18:36:19.175Z,mophep,,,,,,,,,,,
27,Clinton,CLINTON,20470,1096618946.37402,132334.798338683,11,,0,8,,,,,,,,,,0,,49c69376-4575-441d-9b28-0916ed56e747,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:24:21.793Z,mophep,,,,,,,,,,,
28,Chariton,CHARITON,7451,1985128162.1825,232811.31004749,4,,0,4,,,,,,,,,,,,159b88da-a9c9-46f4-9ac8-b87cb3a93c37,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:23:18.450Z,mophep,,,,,,,,,,,
29,Ralls,RALLS,10212,1251371924.15771,159363.675257247,1,,1,,,,,,,,,,,,,657e0eb2-7352-4ffa-a9f8-4ae3dbe98ca5,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:25:37.500Z,mophep,,,,,,,,,,,
30,Monroe,MONROE,8664,1734313100.12061,172147.851354544,0,,,,,,,,,,,,,,,18a7f44f-f717-471c-8f26-0b972f8899a1,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:24:09.887Z,mophep,,,,,,,,,,,
31,Carroll,CARROLL,8743,1815468589.2002,244814.324210419,0,,,,,,,,,,,,,,,2863daf9-4f5e-4a96-8d01-aef8f387461c,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:22:54.507Z,mophep,,,,,,,,,,,
32,Pike,PIKE,18504,1780138268.08252,195251.902074169,6,,1,1,,,,,,,,,,,,b2e7b646-fcb8-41c9-9160-deb9ddfb980c,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:25:16.871Z,mophep,,,,,,,,,,,
33,Randolph,RANDOLPH,24763,1262457788.96362,141305.24273246,8,,,7,,,,,,,,,,,,69bc7639-ad7f-4943-a46d-4d28d677b90a,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:25:41.583Z,mophep,,,,,,,,,,,
34,Ray,RAY,22883,1486068035.16077,176426.842431227,7,,1,6,,,,,,,,,,,,2007cb13-d3e4-47e7-b90a-9c372946d74e,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:25:46.168Z,mophep,,,,,,,,,,,
35,Platte,PLATTE,53529,926000488.614136,220569.179808155,27,,0,17,,,,,,,,,,,,89cb56e8-d925-440d-9a9f-32f662c9896e,2020-03-24T20:48:38.049Z,mophep,2020-04-16T18:59:03.233Z,mophep,,,,,,,,,,,
36,Clay,CLAY,119905,823316735.705933,218676.094357256,57,1,0,37,,,,,,,,,,,,042cfe8c-1fed-4bc5-8c02-cb9f939fdbc0,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:14:03.520Z,mophep,,,,,,,,,,,
37,Audrain,AUDRAIN,25473,1803495861.10938,215641.901277976,1,,,,,,,,,,,,,,,a7933392-083b-4c7b-8112-3c344f7a8407,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:13:31.408Z,mophep,,,,,,,,,,,
38,Saline,SALINE,22895,1984799150.30383,217275.868530419,54,,,5,,,,,,,,,,,,b19785f1-4eee-4776-b3e3-f1eff53017f7,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:17:07.343Z,mophep,,,,,,,,,,,
39,Howard,HOWARD,10137,1219894205.92822,146479.290357848,2,,,1,,,,,,,,,,,,12096404-81e7-445c-b4e7-5cb99d8d22b4,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:50:23.360Z,mophep,,,,,,,,,,,
40,Boone,BOONE,180005,1788327992.47876,222918.326778305,93,1,5,72,,,,,,,,,,,,adeb096a-35c4-4bfc-b331-f6e47ec78fc8,2020-03-24T20:48:38.049Z,mophep,2020-04-17T18:51:46.742Z,mophep,,,,,,,,,,,
41,Lincoln,LINCOLN,57686,1659094184.03247,199880.171936547,31,1,2,19,,,,,,,,,,,,ddbb19b5-cf11-417e-acfd-e9efb74d2c18,2020-03-24T20:48:38.049Z,mophep,2020-04-18T18:35:29.771Z,mophep,,,,,,,,,,,
42,Lafayette,LAFAYETTE,32598,1652845518.59363,208571.11918066,30,1,0,28,,,,,,,,,,,,0115479a-2e19-4c39-8175-bceddbcb8a1d,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:15:13.006Z,mophep,,,,,,,,,,,
43,Jackson,JACKSON,384506,1189079859.32495,267259.884544117,268,8,10,154,,,,,,,,,,,,2e53b945-a2a0-47ce-a8d8-9151e6fef8a6,2020-03-24T20:48:38.049Z,mophep,2020-04-18T18:34:58.681Z,mophep,,,,,,,,,,,
44,Montgomery,MONTGOMERY,11534,1399964516.9375,165877.150034198,7,,,5,,,,,,,,,,,,6c2d1c20-838d-4a6e-bc3c-7f64c870641e,2020-03-24T20:48:38.049Z,mophep,2020-04-17T18:54:25.476Z,mophep,,,,,,,,,,,
45,Callaway,CALLAWAY,44889,2193239140.14453,222331.986866286,21,1,1,18,,,,,,,,,,,,445f5910-45ed-462b-b115-e61e0cc0fc5e,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:13:48.767Z,mophep,,,,,,,,,,,
46,Warren,WARREN,34711,1133370402.96948,170081.832000215,18,,,11,,,,,,,,,,,,62b6cd71-126c-4fc2-b8cb-cd752283c805,2020-03-24T20:48:38.049Z,mophep,2020-04-18T18:37:21.299Z,mophep,,,,,,,,,,,
47,Cooper,COOPER,17603,1472666259.05444,159185.565918979,4,,,2,,,,,,,,,,,,455421ce-8a47-4a51-939a-baf9693d4e13,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:24:37.113Z,mophep,,,,,,,,,,,
48,St Charles,ST CHARLES,399182,1536953085.80835,260793.10259526,435,13,22,199,,,,,,,,,,,,aaedc19b-3e60-4dac-be48-9579ad30c381,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:17:20.373Z,mophep,,,,,,,,,,,
49,Johnson,JOHNSON,53652,2157075526.15857,191728.948832867,48,,1,32,,,,,,,,,,,,54777609-14e7-486a-83c2-16968390459c,2020-03-24T20:48:38.049Z,mophep,2020-04-17T18:53:46.740Z,mophep,,,,,,,,,,,
50,Pettis,PETTIS,42542,1776168033.50159,173417.652915702,13,,,3,,,,,,,,,,,,2fb9ea18-52db-4237-9fc1-6aaf3a929437,2020-03-24T20:48:38.049Z,mophep,2020-04-18T18:36:08.613Z,mophep,,,,,,,,,,,
51,St Louis,ST LOUIS,996945,1355116507.83667,221811.187015462,2214,81,56,1147,,,,,,,,,,,,230c1af1-6382-4660-ac3b-012922eb11f4,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:20:36.845Z,mophep,,,,,,,,,,,
52,Cass,CASS,104753,1815632661.64941,205920.227894331,53,5,3,22,,,,,,,,,,,,c176d2ab-9157-4f7e-a050-de1a5ee8752e,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:13:56.587Z,mophep,,,,,,,,,,,
53,Moniteau,MONITEAU,16121,1083788576.41748,159159.023759893,26,,,4,,,,,,,,,,,,6cb3184f-5fc8-47bf-b1b2-3d18602cea46,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:15:38.755Z,mophep,,,,,,,,,,,
54,St Louis City,ST LOUIS CITY,302838,171027518.520508,66609.1065710149,831,21,19,380,,,,,,,,,,,,92d1d038-5948-4611-ad5b-77a6dacca014,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:17:28.806Z,mophep,,,,,,,,,,,
55,Osage,OSAGE,13714,1585668324.7019,186584.2594344,4,,,4,,,,,,,,,,,,8cfaa4e5-1e55-4f0b-8839-6134ed9f7c84,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:24:40.692Z,mophep,,,,,,,,,,,
56,Gasconade,GASCONADE,14705,1361669506.41504,174005.906547163,2,,,2,,,,,,,,,,,,864a67ba-7388-45d9-a632-451934916303,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:49:24.737Z,mophep,,,,,,,,,,,
57,Morgan,MORGAN,20358,1588178706.90955,190776.557623454,2,,,1,,,,,,,,,,,,320a2ac5-1095-4e26-a315-51ae733f7912,2020-03-24T20:48:38.049Z,mophep,2020-04-16T18:57:58.052Z,mophep,,,,,,,,,,,
58,Cole,COLE,76796,1034375108.98291,170700.784420703,46,1,3,29,,,,,,,,,,,,bb130394-a77a-4cbb-80d2-e09be0d65d60,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:14:07.080Z,mophep,,,,,,,,,,,
