ï»¿OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,3,6837,-1,3,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",13273871024.1289,529491.079018544
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,0,2275,0,0,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",2491281577.11719,208249.56871408
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,0,1862,0,0,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",7613550869.75391,373455.831824096
4,Custer County,08027,Custer,08,CUSTER,027,2,4928,-1,2,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",3100361575.17578,290994.589030107
5,La Plata County,08067,La Plata,08,LA PLATA,067,63,56403,111.7,63,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",6966607866.58203,371001.027724019
6,San Juan County,08111,San Juan,08,SAN JUAN,111,0,762,0,0,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",1611963627.42969,209303.346789561
7,Pitkin County,08097,Pitkin,08,PITKIN,097,52,17879,290.84,51,1,2,2,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",4204962607.14063,360368.050497512
8,Park County,08093,Park,08,PARK,093,14,18557,75.44,14,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",9525822458.41406,477017.520520283
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,14,16184,86.51,14,0,2,2,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",2987314188.43359,224661.437209443
10,Prowers County,08099,Prowers,08,PROWERS,099,3,12078,-1,1,2,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",6861386117.78516,333326.752196427
11,Moffat County,08081,Moffat,08,MOFFAT,081,6,13181,45.52,6,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",21378597682.3633,615436.363722786
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,1466,579491,252.98,1431,35,88,85,3,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",3379799618.59766,374132.11754513
13,Summit County,08117,Summit,08,SUMMIT,117,151,30973,487.52,144,7,1,1,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",2707648429.75781,325660.775440309
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,158,167116,94.55,157,1,11,11,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",10064732291.2969,426421.345889861
15,Boulder County,08013,Boulder,08,BOULDER,013,685,325476,210.46,679,6,46,44,2,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",3280791024.07031,290982.502053684
16,Denver County,08031,Denver,08,DENVER,031,3546,717797,494.01,3428,118,188,166,22,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",680063925.65625,341638.127461467
17,Montrose County,08085,Montrose,08,MONTROSE,085,107,42260,253.19,106,1,11,11,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",9473395348.78906,544456.741798932
18,Eagle County,08037,Eagle,08,EAGLE,037,547,54863,997.03,552,-5,7,7,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",7395854605.48047,390147.77807481
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,20,8177,244.59,20,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",5384599734.96484,409162.439815051
20,Costilla County,08023,Costilla,08,COSTILLA,023,3,3809,-1,3,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",5044736712.28125,326902.580049715
21,Broomfield County,08014,Broomfield,08,BROOMFIELD,014,178,69453,256.29,167,11,16,12,4,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",148046030.359375,146355.830495437
22,Chaffee County,08015,Chaffee,08,CHAFFEE,015,68,20028,339.52,67,1,16,16,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",4328004367.16797,386588.205582361
23,Crowley County,08025,Crowley,08,CROWLEY,025,4,5857,-1,4,0,1,1,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",3373467236.0625,243673.421602718
24,Fremont County,08043,Fremont,08,FREMONT,043,22,47912,45.92,22,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",6491723772.80859,368122.636694602
25,Huerfano County,08055,Huerfano,08,HUERFANO,055,2,6854,-1,2,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",6600175788.24219,473895.539017731
26,Delta County,08029,Delta,08,DELTA,029,52,30936,168.09,51,1,1,1,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",4913548287.83594,340015.070505667
27,Garfield County,08045,Garfield,08,GARFIELD,045,99,59807,165.53,95,4,2,2,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",12911081555.8047,662380.047263359
28,Rio Blanco County,08103,Rio Blanco,08,RIO BLANCO,103,1,6305,-1,1,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",14232867247.625,615863.666810983
29,Morgan County,08087,Morgan,08,MORGAN,087,422,28503,1480.55,413,9,21,20,1,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",5761403665.51953,305025.067510655
30,Lincoln County,08073,Lincoln,08,LINCOLN,073,3,5584,-1,3,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",11104214487.6953,501503.379966312
31,Montezuma County,08083,Montezuma,08,MONTEZUMA,083,18,26159,68.81,18,0,2,2,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",8372827720.81641,400009.056123532
32,Adams County,08001,Adams,08,ADAMS,001,1883,511473,368.15,1815,68,72,68,4,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",5210141150.01953,511835.400891218
33,Mineral County,08079,Mineral,08,MINERAL,079,2,777,-1,2,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",3634702483.06641,263045.388781546
34,Otero County,08089,Otero,08,OTERO,089,10,18364,54.45,10,0,1,1,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",5290668251.41406,335426.330930159
35,Phillips County,08095,Phillips,08,PHILLIPS,095,5,4266,117.21,5,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",3093819023.79688,227633.738214857
36,Ouray County,08091,Ouray,08,OURAY,091,5,4798,104.21,5,0,1,1,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",2274816289.12891,272615.623145942
37,Bent County,08011,Bent,08,BENT,011,0,5819,0,0,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",6430590598.72656,323583.727603443
38,Archuleta County,08007,Archuleta,08,ARCHULETA,007,8,13737,58.24,8,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",5542147892.29297,332854.375928837
39,Routt County,08107,Routt,08,ROUTT,107,58,25683,225.83,56,2,6,6,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",10614530971.7148,532136.256905045
40,Hinsdale County,08053,Hinsdale,08,HINSDALE,053,3,804,-1,3,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",4669808237.98828,359599.201114798
41,Weld County,08123,Weld,08,WELD,123,1955,314251,622.11,1897,58,107,102,5,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",18041133099.0898,641092.26859247
42,Larimer County,08069,Larimer,08,LARIMER,069,409,350362,116.74,393,16,18,18,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",11869666547.0664,482557.23477005
43,Lake County,08065,Lake,08,LAKE,065,21,7762,270.55,21,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",1658108649.73438,213386.288543794
44,Rio Grande County,08105,Rio Grande,08,RIO GRANDE,105,7,11226,62.36,7,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",3769075953.91406,271469.141210196
45,Gilpin County,08047,Gilpin,08,GILPIN,047,1,6097,-1,1,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",661227908.605469,121354.050357325
46,Yuma County,08125,Yuma,08,YUMA,125,9,10029,89.74,9,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",10467950650.7617,420189.213207024
47,Jackson County,08057,Jackson,08,JACKSON,057,0,1396,0,0,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",7304560868.78125,472651.746203251
48,Kit Carson County,08063,Kit Carson,08,KIT CARSON,063,22,7157,307.39,21,1,2,2,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",9363594130.41406,400120.724499853
49,Clear Creek County,08019,Clear Creek,08,CLEAR CREEK,019,13,9663,134.53,13,0,1,1,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",1736216264.01172,211108.263142895
50,Logan County,08075,Logan,08,LOGAN,075,292,21854,1336.14,290,2,1,1,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",8328152552.15234,372747.682548311
51,Washington County,08121,Washington,08,WASHINGTON,121,9,4729,190.32,8,1,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",11143769306.3555,459622.732781113
52,Douglas County,08035,Douglas,08,DOUGLAS,035,543,342842,158.38,531,12,23,23,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",3653484422.51172,276727.953834991
53,Conejos County,08021,Conejos,08,CONEJOS,021,0,8136,0,0,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",5279802537.71094,331488.671176898
54,El Paso County,08041,El Paso,08,EL PASO,041,1028,714395,143.9,1005,23,78,76,2,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",9102643574.50391,401357.096288885
55,Kiowa County,08061,Kiowa,08,KIOWA,061,0,1373,0,0,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",7549913092.20313,424067.864853848
56,Teller County,08119,Teller,08,TELLER,119,29,25060,115.72,28,1,2,2,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",2392495005.71094,233307.545938797
57,Gunnison County,08051,Gunnison,08,GUNNISON,051,168,17173,978.28,168,0,5,5,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",13869269448.5195,669945.263503513
58,Baca County,08009,Baca,08,BACA,009,12,3547,338.31,12,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",10491691046.9727,413607.350631197
59,Elbert County,08039,Elbert,08,ELBERT,039,36,26218,137.31,32,4,1,1,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",8013602362.3125,412091.404768861
60,Mesa County,08077,Mesa,08,MESA,077,46,153630,29.94,46,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",14355754237.5938,614897.951141589
61,Dolores County,08033,Dolores,08,DOLORES,033,0,2053,0,0,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",4433037486.37891,377983.232895077
62,Arapahoe County,08005,Arapahoe,08,ARAPAHOE,005,2883,651342,442.62,2758,125,165,157,8,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",3523320321.52344,435283.847309801
63,Las Animas County,08071,Las Animas,08,LAS ANIMAS,071,4,14491,-1,3,1,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",19590463047.1133,660024.150359288
64,Grand County,08049,Grand,08,GRAND,049,5,15474,32.31,5,0,,,,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",8286034228.99609,526946.918699701
65,OUT OF STATE,,OUT OF STATE,08,OUT OF STATE,,108,,,108,0,2,2,0,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",,
66,UNKNOWN,,UNKNOWN,08,UNKNOWN,,81,,,130,-49,3,2,1,17364,5694287,304.94,903,2919,85976,56,170,Colorado Department of Public Health and Environment,"Data through May 4, 2020",,
