ï»¿FID,IACountyID,FIPS,Name,State,Confirmed,Recovered,Deaths,last_updated,Country,pop_est_2018,individuals_tested,SHAPE_Length,SHAPE_Area
1,60,19119,Lyon,IA,31,22,0,2020/06/15 15:45:14,USA,11811,448,2.21275267122741,0.16910183462716
2,72,19143,Osceola,IA,49,32,0,2020/06/15 15:45:14,USA,6040,289,1.43454319723463,0.11486727457819
3,30,19059,Dickinson,IA,151,42,0,2020/06/15 15:45:14,USA,17153,994,1.43802348033932,0.116176401058861
4,32,19063,Emmet,IA,40,24,0,2020/06/15 15:45:14,USA,9253,557,1.43404643573087,0.115803243352621
5,3,19005,Allamakee,IA,121,91,4,2020/06/15 15:45:14,USA,13832,1006,1.84786172939921,0.189375563365928
6,55,19109,Kossuth,IA,18,9,0,2020/06/15 15:45:14,USA,14908,897,2.12797026687415,0.279506512742556
7,96,19191,Winneshiek,IA,24,24,0,2020/06/15 15:45:14,USA,20029,1082,1.78870782385609,0.198184395037308
8,45,19089,Howard,IA,12,10,0,2020/06/15 15:45:14,USA,9187,503,1.5222554542708,0.136239672336114
9,95,19189,Winnebago,IA,12,11,0,2020/06/15 15:45:14,USA,10518,578,1.4353378151154,0.115503756567768
10,66,19131,Mitchell,IA,8,4,0,2020/06/15 15:45:14,USA,10569,691,1.51579601242865,0.135076913448264
11,98,19195,Worth,IA,4,3,0,2020/06/15 15:45:14,USA,7453,397,1.43534589840123,0.115607405615691
12,84,19167,Sioux,IA,358,160,0,2020/06/15 15:45:14,USA,34909,2150,2.45753459118017,0.220121447846734
13,71,19141,Obrien,IA,66,25,1,2020/06/15 15:45:14,USA,13840,851,1.63916495855897,0.164071999605506
14,21,19041,Clay,IA,76,26,0,2020/06/15 15:45:14,USA,16134,1016,1.63897894990378,0.163930120305046
15,74,19147,Palo Alto,IA,14,5,0,2020/06/15 15:45:14,USA,8929,436,1.63360274301866,0.163027285618699
16,41,19081,Hancock,IA,30,17,0,2020/06/15 15:45:14,USA,10712,857,1.64022442841417,0.164081009647297
17,17,19033,Cerro Gordo,IA,44,24,1,2020/06/15 15:45:14,USA,42647,3375,1.64167384598673,0.164593890089511
18,19,19037,Chickasaw,IA,15,9,0,2020/06/15 15:45:14,USA,11964,656,1.5579330429406,0.144783457663011
19,34,19067,Floyd,IA,20,17,1,2020/06/15 15:45:14,USA,15761,1249,1.55184492435623,0.143525926262284
20,22,19043,Clayton,IA,35,29,3,2020/06/15 15:45:14,USA,17556,930,2.20235204451794,0.226710827397518
21,33,19065,Fayette,IA,28,27,0,2020/06/15 15:45:14,USA,19660,1109,1.82861179547503,0.208640704071808
22,75,19149,Plymouth,IA,202,112,4,2020/06/15 15:45:14,USA,25095,1791,2.58616834565828,0.246019887462918
23,18,19035,Cherokee,IA,59,40,0,2020/06/15 15:45:14,USA,11321,785,1.64015874620456,0.164270532443662
24,11,19021,Buena Vista,IA,1590,335,6,2020/06/15 15:45:14,USA,19874,6277,1.64552268815282,0.1652216328257
25,76,19151,Pocahontas,IA,30,4,0,2020/06/15 15:45:14,USA,6740,457,1.64124953372891,0.164761949621183
26,46,19091,Humboldt,IA,33,21,1,2020/06/15 15:45:14,USA,9547,568,1.46962109997574,0.124113863794899
27,99,19197,Wright,IA,292,105,0,2020/06/15 15:45:14,USA,12690,2144,1.64480853659461,0.16568411709874
28,9,19017,Bremer,IA,74,66,6,2020/06/15 15:45:14,USA,24947,1803,1.47509845559349,0.125164627007619
29,35,19069,Franklin,IA,49,12,0,2020/06/15 15:45:14,USA,10124,836,1.64758090698267,0.165817716686447
30,12,19023,Butler,IA,23,13,2,2020/06/15 15:45:14,USA,14539,1080,1.64581994704863,0.165677440567865
31,31,19061,Dubuque,IA,385,222,22,2020/06/15 15:45:14,USA,96854,6812,1.9659850064536,0.174834340738589
32,28,19055,Delaware,IA,27,18,1,2020/06/15 15:45:14,USA,17069,899,1.65320344218239,0.164157256355936
33,94,19187,Webster,IA,97,65,1,2020/06/15 15:45:14,USA,36277,3261,1.89365250486713,0.203631378398526
34,10,19019,Buchanan,IA,35,30,1,2020/06/15 15:45:14,USA,21199,1201,1.66302867060044,0.162502933178709
35,7,19013,Black Hawk,IA,1834,1088,53,2020/06/15 15:45:14,USA,132408,11879,1.6690521466628,0.162374630605809
36,97,19193,Woodbury,IA,3005,2410,39,2020/06/15 15:45:14,USA,102539,14021,2.42636247129416,0.248549990860172
37,47,19093,Ida,IA,18,16,0,2020/06/15 15:45:14,USA,6841,439,1.53905385133514,0.122291609116611
38,81,19161,Sac,IA,38,23,0,2020/06/15 15:45:14,USA,9719,976,1.76241111854249,0.163752090137135
39,13,19025,Calhoun,IA,24,11,0,2020/06/15 15:45:14,USA,9699,659,1.73628628486417,0.161997583069679
40,40,19079,Hamilton,IA,122,60,0,2020/06/15 15:45:14,USA,14952,1492,1.71314143947394,0.163503770113021
41,42,19083,Hardin,IA,45,12,0,2020/06/15 15:45:14,USA,16868,983,1.69000296456947,0.161385418032918
42,38,19075,Grundy,IA,23,16,0,2020/06/15 15:45:14,USA,12304,759,1.67802338743871,0.142127445949025
43,49,19097,Jackson,IA,14,8,0,2020/06/15 15:45:14,USA,19432,855,2.07834736694484,0.183296848633463
44,53,19105,Jones,IA,41,37,0,2020/06/15 15:45:14,USA,20744,1038,1.6299162569308,0.162684664504456
45,57,19113,Linn,IA,1018,836,80,2020/06/15 15:45:14,USA,225909,14382,1.80674092166282,0.204193692873201
46,6,19011,Benton,IA,46,37,1,2020/06/15 15:45:14,USA,25642,1428,1.80588730837179,0.202483172750458
47,86,19171,Tama,IA,428,335,29,2020/06/15 15:45:14,USA,16904,1862,1.80688300401416,0.203440469857114
48,67,19133,Monona,IA,47,20,0,2020/06/15 15:45:14,USA,8679,534,2.12316354201373,0.196795369826852
49,24,19047,Crawford,IA,621,354,2,2020/06/15 15:45:14,USA,17158,2417,1.85534418535146,0.201377793645609
50,14,19027,Carroll,IA,48,14,1,2020/06/15 15:45:14,USA,20154,1131,1.6197601288418,0.160534308640552
51,37,19073,Greene,IA,21,14,0,2020/06/15 15:45:14,USA,8981,495,1.62157185711836,0.160866715753459
52,8,19015,Boone,IA,101,44,0,2020/06/15 15:45:14,USA,26346,2000,1.62489466407202,0.161510465217336
53,85,19169,Story,IA,253,108,2,2020/06/15 15:45:14,USA,98105,4138,1.62511481218105,0.161547069415365
54,64,19127,Marshall,IA,941,583,18,2020/06/15 15:45:14,USA,39981,4742,1.62374952565441,0.161426130789666
55,23,19045,Clinton,IA,68,60,1,2020/06/15 15:45:14,USA,46518,2346,2.24361687413681,0.199530757525976
56,16,19031,Cedar,IA,54,45,1,2020/06/15 15:45:14,USA,18627,1217,1.63234594510688,0.163181818164524
57,43,19085,Harrison,IA,39,23,0,2020/06/15 15:45:14,USA,14134,742,2.15390456644706,0.196078880287994
58,83,19165,Shelby,IA,49,35,0,2020/06/15 15:45:14,USA,11578,561,1.74937315948455,0.165599269790057
59,5,19009,Audubon,IA,14,10,1,2020/06/15 15:45:14,USA,5506,278,1.50015453828969,0.124202963325951
60,39,19077,Guthrie,IA,58,42,3,2020/06/15 15:45:14,USA,10720,663,1.72265090697959,0.16608372356967
61,52,19103,Johnson,IA,643,468,8,2020/06/15 15:45:14,USA,151260,9780,1.84505285201909,0.174467390398262
62,25,19049,Dallas,IA,1027,662,26,2020/06/15 15:45:14,USA,90180,7162,1.68881467047954,0.165695923991871
63,48,19095,Iowa,IA,34,33,0,2020/06/15 15:45:14,USA,16141,940,1.64529790199185,0.164521602033462
64,77,19153,Polk,IA,5177,2394,161,2020/06/15 15:45:14,USA,487204,36829,1.79851653423037,0.165798164756224
65,79,19157,Poweshiek,IA,95,80,8,2020/06/15 15:45:14,USA,18699,899,1.64560614400894,0.164235421919034
66,50,19099,Jasper,IA,283,201,17,2020/06/15 15:45:14,USA,37147,2420,1.89209025622817,0.205206542990887
67,82,19163,Scott,IA,406,357,10,2020/06/15 15:45:14,USA,173283,9536,1.9042879308868,0.131101028674465
68,70,19139,Muscatine,IA,574,491,43,2020/06/15 15:45:14,USA,42929,3632,1.6483485078502,0.125418794461856
69,78,19155,Pottawattamie,IA,509,266,11,2020/06/15 15:45:14,USA,93533,6447,2.6701405613069,0.26717770427194
70,15,19029,Cass,IA,14,13,0,2020/06/15 15:45:14,USA,12930,577,1.60199838221897,0.157431037196136
71,92,19183,Washington,IA,208,170,9,2020/06/15 15:45:14,USA,22141,1880,1.65656170409436,0.158972056822445
72,1,19001,Adair,IA,11,9,0,2020/06/15 15:45:14,USA,7063,329,1.61086976908435,0.158860246110915
73,54,19107,Keokuk,IA,15,13,0,2020/06/15 15:45:14,USA,10225,608,1.62594763010153,0.161616444275989
74,91,19181,Warren,IA,197,154,1,2020/06/15 15:45:14,USA,51056,3380,1.70656061378754,0.159602417083592
75,61,19121,Madison,IA,34,26,2,2020/06/15 15:45:14,USA,16249,827,1.60028745529922,0.15659955195822
76,62,19123,Mahaska,IA,108,79,14,2020/06/15 15:45:14,USA,22000,1062,1.61487375875982,0.15983170541375
77,63,19125,Marion,IA,43,29,0,2020/06/15 15:45:14,USA,33407,1407,1.60953916629708,0.158906678664242
78,58,19115,Louisa,IA,355,284,11,2020/06/15 15:45:14,USA,11169,1247,1.75283719716366,0.11609984092493
79,65,19129,Mills,IA,24,21,0,2020/06/15 15:45:14,USA,15063,1596,1.5081338641808,0.122132457358878
80,69,19137,Montgomery,IA,9,6,2,2020/06/15 15:45:14,USA,10003,550,1.42941494131685,0.117877281210496
81,2,19003,Adams,IA,7,5,0,2020/06/15 15:45:14,USA,3645,198,1.4306796476061,0.11799264030139
82,44,19087,Henry,IA,73,65,2,2020/06/15 15:45:14,USA,20067,1227,1.39048367232224,0.120982880824429
83,51,19101,Jefferson,IA,47,25,0,2020/06/15 15:45:14,USA,18381,896,1.44973415457871,0.121161607057882
84,88,19175,Union,IA,10,7,0,2020/06/15 15:45:14,USA,12359,702,1.43050961959233,0.11811537729096
85,90,19179,Wapello,IA,676,443,26,2020/06/15 15:45:14,USA,35205,3579,1.44530198981096,0.120895576009114
86,20,19039,Clarke,IA,89,54,1,2020/06/15 15:45:14,USA,9423,699,1.43809321574798,0.119709743384459
87,59,19117,Lucas,IA,24,14,3,2020/06/15 15:45:14,USA,8645,334,1.44258508735791,0.120474549754265
88,68,19135,Monroe,IA,47,36,6,2020/06/15 15:45:14,USA,7790,405,1.4424093876936,0.120378125777524
89,29,19057,Des Moines,IA,66,58,2,2020/06/15 15:45:14,USA,39138,1951,1.57405850996194,0.118960734514806
90,36,19071,Fremont,IA,4,2,0,2020/06/15 15:45:14,USA,6993,275,1.62288194461822,0.142660581927864
91,73,19145,Page,IA,16,11,0,2020/06/15 15:45:14,USA,15249,907,1.59150363876605,0.147859442418914
92,87,19173,Taylor,IA,74,20,0,2020/06/15 15:45:14,USA,6191,544,1.57094727247982,0.147630696055921
93,80,19159,Ringgold,IA,8,4,0,2020/06/15 15:45:14,USA,4968,255,1.56326766465177,0.148728871032954
94,89,19177,Van Buren,IA,11,9,0,2020/06/15 15:45:14,USA,7020,271,1.53592818808525,0.135569861036805
95,26,19051,Davis,IA,34,19,1,2020/06/15 15:45:14,USA,9017,465,1.52608960383686,0.139392794520039
96,27,19053,Decatur,IA,7,1,0,2020/06/15 15:45:14,USA,7890,332,1.55809398057972,0.147367102513795
97,93,19185,Wayne,IA,5,1,0,2020/06/15 15:45:14,USA,6401,226,1.5512558166716,0.14558185877792
98,4,19007,Appanoose,IA,17,11,3,2020/06/15 15:45:14,USA,12437,603,1.54004938261221,0.142517166196449
99,56,19111,Lee,IA,38,25,1,2020/06/15 15:45:14,USA,34055,1257,2.02947882960938,0.148544768599951
100,,0,Pending Investigation,IA,5,0,0,2020/06/15 15:45:14,Unknown,,1157,0.0109425719999763,6.80092135452429e-06
